Date_of_PreShoot,Session_Fee,Hair,DOB,zip_code,Sales_total,Model Release,Favorite
1/5/2017,99,yes,5/5/1976,32208,600,yes,butt
11/2/2017,99,yes,10/16/1984,32082,400,no,"butt, eyes"
6/29/2017,99,yes,7/22/1989,32080,320,no,"eyes, hair, legs"
1/23/2017,99,no,1/23/1971,32208,720,yes,boobs
4/25/2014,99,yes,6/6/1994,32034,,,
9/14/2014,99,yes,11/3/1982,32257,1320,no,butt
9/5/2017,99,no,1/24/1996,32246,0,yes,eyes
8/14/2015,179,no,8/29/1977,32221,240,no,
9/24/2015,99,no,10/24/1995,,,,
3/5/2015,99,yes,9/7/1979,32277,720,yes,boobs
1/21/2015,99,yes,8/4/1988,32258,680,yes,eyes
3/8/2014,249,yes,6/28/1991,32254,,no,
9/27/2014,99,no,11/10/1969,32216,600,yes,
8/24/2017,99,yes,4/9/1991,32068,750,yes,smile
4/4/2014,249,no,8/3/1975,32207,600,yes,butt
3/4/2014,99,no,3/3/1979,32003,1350,yes,
11/1/2016,99,yes,9/13/1968,32246,720,yes,
9/5/2013,99,yes,5/10/1972,32223,720,,
9/5/2013,179,yes,5/10/1972,32223,679,,
2/9/2015,99,no,5/12/1976,32164,,,
8/24/2016,99,yes,6/17/1963,32250,3000,yes,butt
5/6/2014,99,yes,11/17/1970,32656,,,
10/12/2016,99,no,10/4/1991,32223,1450,no ,boobs
3/6/2014,99,no,7/12/1976,32246,80,,
5/17/2016,99,no,9/26/1987,32259,680,yes,
2/17/2014,99,no,2/21/1988,32259,,,"boobs, legs,"
10/14/2016,99,no,11/2/1990,32256,840,yes,
11/8/2013,99,no,9/12/1990,3220?,160,yes,
12/6/2013,99,no,7/15/1984,32225,440,no,
2/14/2014,99,no,9/27/1992,32220,1100,yes,
10/13/2015,99,yes,10/27/1971,31169,600,yes,
9/6/2014,99,no,2/2/1967,32218,,no,boobs
3/22/2017,179,no,2/8/1983,32211,750,yes,"legs, pale_skin"
,,,2/8/1983,32211,1200,yes,
3/25/2017,99,yes,4/18/1974,32224,,,
3/4/2014,99,no,8/26/1988,32256,0,no,
11/4/2015,99,no,10/28/1979,32225,,,
10/14/2016,99,no,6/4/1962,32223,600,no,
2/18/2015,99,no,4/20/1994,32246,1320,yes,
4/25/2016,99,no,9/12/1988,32092,600,yes,butt
6/29/2017,99,yes,3/20/1984,32226,600,yes,butt
10/12/2017,99,no,9/30/1985,32258,1200,yes,boobs
2/11/2017,99,no,10/5/1989,32259,600,no,
2/15/2014,99,yes,2/10/1985,32081,1100,yes,
6/1/2015,99,no,10/20/1989,32011,760,yes,
5/11/2017,99,no,3/8/1990,32224,240,yes,"boobs, shoulder"
1/23/2017,99,no,6/27/1980,32034,600,no,"boobs, butt"
2/20/2016,99,yes,1/10/1992,32256,720,no,
1/8/2018,99,yes,1/12/1988,32065,600,yes,
1/15/2014,99,yes,10/4/1981,32092,540,yes,butt
1/30/2016,99,no,8/24/1979,32225,240,yes,boobs
,,,8/24/1979,32225,600,yes,boobs
7/26/2013,99,no,11/12/1988,32246,,yes,
2/18/2014,249,yes,12/22/1990,32257,690,yes,butt
3/9/2014,99,no,9/28/1984,32256,,,butt
1/6/2018,179,yes,5/1/1961,32258,1800,yes,"boobs, legs"
6/18/2016,99,no,10/12/1985,32257,1200,no,"butt, hips, legs"
2/10/2014,99,no,7/31/1985,32217,,,butt
1/14/2017,99,yes,5/27/1984,32244,600,no,butt
2/8/2014,99,no,5/13/1963,32256,400,yes,
10/6/2013,99,no,6/3/1974,32073,620,yes,
9/8/2015,99,no,3/3/1957,32086,80,no,
3/6/2014,99,no,12/29/1980,32218,600,yes,
12/8/2017,99,no,5/21/1991,31548,600,yes,"arms, muscles "
5/10/2014,99,no,1/27/1988,32004,1100,yes,"butt, legs"
2/24/2014,99,no,2/5/1991,32258,1200,yes,butt
3/27/2014,99,no,8/3/1959,32082,670,yes,
9/11/2014,99,no,10/25/1948,31548,2200,yes,
10/29/2016,0,yes,10/27/1968,32219,600,yes,
5/19/2016,99,no,12/30/1965,32246,,,
2/26/2014,99,yes,8/7/1981,32082,1100,yes,"butt, eyes"
3/18/2015,179,no,12/18/1992,31558,2040,no,"butt, eyes"
12/15/2014,99,yes,11/6/1983,32224,630,yes,
6/20/2016,99,no,8/3/1990,32254,750,yes,
10/30/2014,179,no,2/28/1991,32216,750,yes,"eyes, legs"
3/16/2014,99,no,3/11/1991,32208,,,
12/18/2013,99,no,11/11/1974,32216,1100,yes,
12/28/1988,0,no,12/28/1988,32250,160,yes,legs
7/25/2014,99,yes,3/5/1986,32246,240,no,boobs
1/22/2014,99,no,11/28/1957,32082,600,yes,"eyes, smile"
2/27/2016,99,yes,4/27/1977,32218,800,no,boobs
7/10/2014,99,yes,6/8/1971,32224,1200,no,
4/6/2015,99,no,12/7/1986,32218,,,curves
5/5/2016,99,no,6/14/1989,32244,720,no,boobs
3/17/2014,100,no,3/24/1990,34471,,,
2/10/2014,99,yes,12/17/1965,32073,740,yes,
12/1/2017,99,no,12/26/1977,32205,950,yes,
10/21/2014,179,no,10/28/1990,32256,1200,yes,
5/4/2015,99,no,2/4/1987,32250,720,yes,"butt, eyes"
9/3/2014,179,no,3/11/1987,32259,1320,no,
12/5/2013,99,yes,9/21/1977,32250,440,yes,
9/11/2013,99,no,3/13/1982,32207,727,yes,
1/3/2014,99,no,10/20/1977,32092,530,yes,
10/4/2013,99,yes,3/27/1987,32225,80,yes,
5/1/2016,99,yes,6/25/1980,31558,1060,no,butt
12/9/2014,99,no,12/26/1977,31523,600,no,butt
4/26/2014,99,no,1/27/1968,32312,2730,yes,
11/19/2014,179,no,8/6/1982,32081,,yes,"butt, legs"
6/13/2014,99,no,12/25/1990,32250,950,no,
1/16/2015,99,no,12/18/1956,32266,750,yes,
9/21/2017,99,no,3/30/1963,32003,320,no,boobs
10/16/2014,99,yes,8/28/1986,32082,600,yes,legs
3/3/2017,99,no,12/31/1975,32226,1550,yes,boobs
9/12/2016,99,yes,9/10/1967,32038,600,yes,butt
8/21/2015,99,no,12/7/1982,37217,600,yes,
2/24/2014,99,no,12/30/1980,32034,0,yes,butt 
3/21/2015,99,no,7/22/1983,32080,90,no,"boobs, eyes, legs"
2/8/2014,99,yes,10/4/1982,32033,900,yes,butt
2/8/2015,99,no,5/24/1985,31548,750,no,butt
8/24/2014,99,yes,5/1/1986,32256,1320,yes,"butt, hair, legs,"
2/22/2014,99,no,8/9/1982,32244,1100,yes,
10/19/2014,99,no,1/3/1974,32224,600,yes,"back, butt"
11/4/2013,99,yes,2/14/1984,32205,320,no,
10/12/2014,99,yes,8/15/1989,32216,760,yes,
1/4/2014,99,yes,9/27/1969,32259,510,yes,"boobs, curves"
1/22/2017,99,no,9/13/1993,32227,320,yes,legs
7/6/2016,99,yes,1/23/1992,32219,600,yes,eyes
10/15/2015,99,no,6/9/1985,32211,1200,yes,
10/2/2015,99,no,7/8/1971,32205,750,no,
4/4/2014,99,yes,8/3/1988,32608,,,
2/9/2015,99,no ,1/9/1980,32246,1200,no,"back, eyes, neck"
10/14/2016,99,yes,10/3/1978,32221,,,boobs
1/30/2016,99,no,9/9/1988,32211,160,yes,silouette
9/26/2016,99,no,8/10/1978,32003,300,yes,"boobs, eyes"
10/30/2017,99,no,3/4/1970,32224,1620,no,waist
10/1/2014,99,no,1/5/1986,32222,600,yes,butt
2/1/2017,99,no,11/5/1993,32218,320,no,
3/26/2016,99,no,9/7/1978,32210,,,butt
9/30/2016,179,no,4/20/1969,32065,,,
5/28/2017,99,no,6/19/1974,78413,1800,yes,
10/1/2015,99,yes,9/5/1977,32040,1320,yes,butt
11/2/2015,99,no,8/31/1988,32218,,,
4/18/2016,99,no,7/9/1985,32082,,,"butt, legs"
